id_tweet,texto,sentimento
859748475713597440,@ielison_ @riiizi ahahaha Olá :),positivo
859203027835772929,mano que saudade de comer cuscuz de arroz :(,negativo
860582871106551808,"@letrlessa To sim, friend! Bem melhor já :)",positivo
859776666004074496,@4ndr4d3_ Obrigada :),positivo
860934157194711041,@Leandro90372059 Nem eu sei... :(,negativo
859675924895342593,"@Pinilla84 obrigado Marta, beijinho :)",positivo
859049733406564352,@maryyyyyluuuuu Népia :( só de passagem,negativo
860601666051112968,A ler ... Mas para ciclistas :) https:t.coxV3edZ9wbi,positivo
859552950120853505,Falando com a crush pelo wpp msm estando na msm sala q ela :),positivo
858872813419155460,Tô me sentindo bem e feliz. Amanhã é o meu primeiro dia do trabalho empregado em algo que amo fazer e eles ajudaram muito nisso :),positivo
859027783502225408,@manupsr_ ce ta achando q eu sou o @? :(,negativo
860128844359102467,@zeantoniolima Demorou pra eu relaxar depois de ver isso. :(,negativo
860484459384246272,@starforlwt nao escute é de partir o coração :-(,negativo
860226493926039554,o cel q eu consegui ja veio a óbito :(,negativo
859231901227372545,"@overlarrykiss Ele anda mal vestido ultimamente, magro demais e sempre triste, eu tô tão preocupada :(",negativo
859606774663532544,@lesadonna Eu tenho :(,negativo
859539940933292032,@beboquerosene obrigada :),positivo
861083591173963777,Policial falou : vamos procurar seu cel Eu : eu sei que nao vão achar :),positivo
861290285808136192,Não tô conseguindo ficar bem :(,negativo
859189214730235905,@Raphalyssa Tô numa festa. Só qdo chegar em casa. :( Te falo,negativo
860552990989668353,Próxima parada #SanctiSpiritus :) https:t.coPzrHgyrfCJ,positivo
859743939842244608,Hoje o dia amanheceu maravilhoso. Calorzim voltou Ameeegans :),positivo
861018618909388800,P.S.: Você me deixou curioso. Uma banana? Uma salsicha? Um pepino? :-)  swksmsjsjjwjjwj morto com a referência,positivo
859362431373647872,Acordei muito em cima da hora hoje e tive me arrumar as pressas. Meu cérebro não teve tempo de iniciar direito ainda ... :(,negativo
861299068894674944,@foitardis Mas eu sou seu sup não me troca :(,negativo
860160704225173505,@AnneNoRegrets Kkkkkk que maravilhosa vc.. Claro que u vou :),positivo
860630415106879492,@estheroliveirac @Karla_couttinho A nossa escola é estadual :),positivo
858824604370051072,"@marleenediogo É chato,devia dar.Mas hás de chegar lá,tudo correrá bem :)",positivo
860989231002419200,eu espero que vc se foda bastantao :),positivo
859247319019122688,@milena_vanni POXA CHUCHU :(,negativo
858842729157087232,primeiramente fora themer! :-) - Desista de desistir. #umRei,positivo
859656853357244416,@an4lizando Depois de hoje é que ela nunca mais procura ele. E com razão. :(,negativo
859838821478932482,@jaureskys oh meu amor queria tanto :(,negativo
859080119813582848,@nathirosch meus sentimentos :(,negativo
860908207006416897,"Não sei pra quê assisto, só pra me machucar :(",negativo
859835633317158915,tô vendo esses vídeos do show de hoje e só me dá saudades do show :(,negativo
860514890645155841,"enato ja estas a caminho de casa, ja se acabou o trabalho RB  Sim já :) yayyy https:t.codu1Pt2aIJK",positivo
860218947580420096,@denilsonshow acertou miseraviiiiiiii :),positivo
860424871377031168,Eu só queria conseguir dormir :(,negativo
860933066445008896,@samffreire Amiga meu contrato acaba dia 3006 :(,negativo
859831846426865664,Deixo no vácuo :( https:t.cotKzqolmwsg,negativo
860572633657729024,@vianablog @estudiocbn é a matéria prima do meu trabalho. nada mais que a obrigação. :),positivo
858895469036130304,@RealAngielo Deveria tentar. :),positivo
